resp_id,date,Agree,Citizenship,age,agegroup,agegroup5,gender,educ,educ5,religiosity,v9,v10,v11,v12,v700,v15,v16,v17,Attention,v19,v701,v20,v702,v21,v36,v703,v708,v18,v704,v27,v28,v29,v30,v31,v33,v35,v45,v52A,v50,v51,v622A,v622B,v622C,v623,v91,v104,v706,v111,v612,v613_1,v613_2,v613_3,v613_4,v613_5,v613_6,v613_7,v613_8,v613_9,v613_10,v613_30,v614_1,v614_2,v614_3,v614_4,v614_5,v614_6,v614_7,v614_8,v110,v710,v119,v120,v121,v122,v123,v125,v126,v127,v128,v129,v130,v400,v401,v402,v403,v409,v410,v411_1,v411_2,v411_3,v411_4,v411_5,v411_6,v411_7,v411_8,v411_9,v411_10,v411_11,v412,v413_1,v413_2,v413_3,v413_4,v413_5,v413_6,v415,v416,v417,v418,v132,v133,v143,v131,v513,v134,v139,sector,DEVICE_TYPE,SURVEY_MODE,w_jews,w_arabs,w_sample,District_CBS
295751,04/03/2025,1,1,,5,4,1,9,5,5,4,4,2,4,3,1,4,3,2,2,4,1,3,2,3,3,8,8,1,,,,,,2,2,2,2,5,5,2,7,7,2,1,30,2,3,5,1,1,,,,,,,1,,,1,1,,,,,,,1,1,3,2,3,3,1,1,2,3,3,3,4,1,5,3,3,1,2,,1,1,,1,,,1,,,,8,,1,1,,,,4,3,3,3,2,5,1,4,5,,5,1,PC,1,0.647,,0.628,5
295755,04/03/2025,1,1,27,2,1,1,7,3,4,5,4,3,3,4,3,4,1,2,4,3,2,4,4,4,4,10,10,98,,,,,,3,1,2,2,4,4,1,6,4,3,1,2,2,4,2,1,1,1,,,,,,,,,,1,1,,,,,,1,2,3,1,3,2,2,1,1,2,2,1,1,2,,3,2,1,4,,,1,1,1,,,1,1,,,1,1,,,,,,3,98,2,4,2,5,1,1,4,,4,1,Mobile,1,0.716,,0.694,2
295756,04/03/2025,1,1,30,3,2,1,8,4,5,5,2,5,4,4,1,2,4,2,4,3,2,1,4,4,2,4,3,1,,,,,,3,4,1,8,9,2,8,7,8,2,4,9,94,2,5,1,,,,,1,,,,,,,,,1,,,,,3,5,3,1,3,4,2,2,1,1,2,3,2,2,,4,4,1,2,,,,1,,,,1,,,,4,1,,,,,,3,2,2,3,1,6,1,1,6,,4,1,PC,1,0.849,,0.823,5
295760,04/03/2025,1,1,,4,3,1,6,3,3,4,4,4,4,4,1,3,4,2,98,3,4,3,2,2,2,9,1,1,,,,,,3,1,4,1,10,1,3,8,5,0,1,7,1,1,3,,1,1,,,,,,,,,,,,1,,,,,6,98,3,4,3,4,1,2,2,1,4,4,4,2,,4,4,1,3,,,,,,1,1,,,,,6,1,,,,,,3,1,3,2,3,1,1,2,4,,2,1,PC,1,0.96,,0.931,1
295766,04/03/2025,1,1,22,1,1,2,5,2,4,4,3,2,4,4,1,3,2,2,4,3,98,2,2,3,3,9,5,1,,,,,,3,3,1,5,8,3,6,10,10,0,1,97,1,2,4,,1,,,,1,,,1,,,1,1,,,,,,,7,4,4,98,98,3,2,2,2,2,3,3,3,1,2,3,3,1,4,,,,1,1,,,1,,,,8,1,,,,,,3,3,3,3,3,5,1,1,4,,4,1,Mobile,1,1.173,,1.138,3
295767,04/03/2025,1,1,27,2,1,2,5,2,5,4,3,5,4,4,4,3,1,2,4,3,1,2,4,4,3,9,8,1,,,,,,2,4,2,0,8,2,0,8,4,0,1,7,98,2,5,1,1,1,,1,1,,1,1,,,1,1,1,,,,,,2,2,3,3,3,1,1,1,1,2,2,2,2,1,5,2,3,1,1,,,,,,,,1,,,,5,1,,,,,,3,2,1,2,1,6,1,1,6,,3,1,Mobile,1,1.089,,1.057,4
295769,04/03/2025,1,1,29,2,1,2,5,2,5,5,3,4,3,4,4,3,2,2,2,1,3,4,4,4,3,10,10,5,,,,,,2,1,2,1,3,4,2,5,5,3,2,97,2,5,4,1,,,,,,,,,,,,,,,,,1,,4,2,3,1,2,4,4,1,1,2,1,2,3,1,5,4,3,1,2,,,1,,,,,,,,,1,1,,,,,,3,2,2,2,1,6,5,4,4,,2,1,Mobile,1,1.089,,1.057,6
295770,04/03/2025,1,1,,2,1,2,8,4,1,4,2,2,2,4,1,4,2,2,4,3,1,1,1,1,1,4,0,1,,,,,,4,1,4,10,10,10,10,0,5,0,1,6,6,1,5,1,,,,,,,,,,,,,,,,,1,,1,1,2,4,1,1,1,2,2,2,2,2,2,2,,4,4,1,3,,,,1,,,,,,,,10,1,,,,,,4,4,4,4,4,4,1,1,6,,3,1,PC,1,0.914,,0.887,1
295772,04/03/2025,1,1,32,3,2,2,6,3,1,5,3,3,3,4,1,2,4,2,4,3,3,3,1,1,2,4,2,2,,,,,,3,3,3,5,6,2,10,5,5,0,2,6,6,4,5,1,,,,,,,,,,,,,,,,,1,,4,4,3,3,3,3,3,3,3,2,2,2,2,2,,4,4,98,4,,,,1,1,,,1,,,,9,1,,,,,,3,3,2,3,4,4,1,1,4,,3,1,PC,1,0.648,,0.629,1
295778,04/03/2025,1,1,38,3,2,1,4,1,4,5,4,1,4,4,1,2,3,2,4,3,1,4,1,1,1,10,0,1,,,,,,4,1,3,10,10,0,10,10,10,0,1,5,1,1,4,,1,,,,,,,,,,,,,1,,,,,10,5,4,4,4,4,2,1,1,1,1,1,1,2,,4,4,2,1,,,,,,,1,1,,,,9,1,,,,,,98,98,98,98,2,5,1,3,5,,3,1,Mobile,1,1.092,,1.059,5
295779,04/03/2025,1,1,48,4,3,2,5,2,4,2,3,2,4,3,2,1,4,2,4,3,98,3,2,2,1,0,0,1,,,,,,2,2,1,10,10,1,5,7,10,1,1,9,99,3,5,,1,,,,,1,,1,,,,,,1,,,,,10,5,3,4,2,3,1,4,4,1,2,3,2,1,2,4,3,2,2,,,,1,,,,,,,,2,1,,,,,,4,4,4,4,2,5,1,1,3,1993,4,1,Mobile,1,1.239,,1.202,6
295781,04/03/2025,1,1,49,4,3,2,4,1,3,4,3,4,4,4,1,2,4,2,4,4,2,2,1,98,2,4,2,1,,,,,,98,2,3,7,10,98,8,10,10,1,1,1,1,2,4,,1,,,,1,,,,,,1,,,1,,,,,8,5,2,98,3,3,2,3,2,1,3,4,98,1,1,4,4,2,4,,,,1,1,1,,1,,,,9,1,,,,,,3,3,98,3,3,5,1,4,5,,5,1,PC,1,1.502,,1.457,4
295782,04/03/2025,1,1,,7,5,1,9,5,5,5,4,4,1,1,3,4,1,2,1,1,3,2,4,4,4,10,10,5,,,,,,2,2,3,0,5,10,0,10,0,5,1,8,8,6,4,,1,,1,,,,,,,,,,1,,,,,,1,1,4,1,1,4,3,1,1,3,2,3,2,2,,4,4,1,2,1,,,,1,,1,,,,,0,1,,,,,,3,3,2,3,1,6,1,4,6,,4,1,Mobile,1,0.951,,0.922,5
295784,04/03/2025,1,1,,6,5,1,5,2,5,4,4,4,3,4,2,1,4,2,3,4,3,3,4,3,2,8,7,3,,,,,,2,98,1,5,10,3,5,5,10,4,2,97,30,2,4,,1,,,,,,,,,,1,1,1,1,,,,,6,98,3,2,3,2,2,2,3,2,2,3,1,99,,4,2,1,3,,,1,1,1,,1,1,,,,10,1,,,,,,3,3,2,3,2,4,1,2,2,1969,2,1,Mobile,1,1.419,,1.376,5
295788,04/03/2025,1,1,,6,5,2,6,3,5,5,4,2,3,2,4,3,1,2,3,1,3,3,3,3,3,9,8,4,,,,,,3,2,3,2,3,5,2,9,7,5,1,8,2,4,3,1,1,,,,,,,,,,,1,,,,,,,3,2,3,2,2,3,3,2,2,3,3,3,3,1,5,4,4,1,4,1,,1,,1,,,,,,,5,,1,,,,,3,3,3,3,2,6,1,1,7,,2,1,PC,1,0.825,,0.8,2
295790,04/03/2025,1,1,,8,5,2,5,2,5,4,3,5,2,1,3,4,1,2,2,1,3,4,3,4,3,10,10,5,,,,,,2,2,2,2,2,2,4,4,4,4,1,30,8,6,4,,1,,1,,,,,,,,1,1,,,,,,,1,1,2,3,2,3,3,1,1,3,2,4,4,2,,4,3,1,4,,,1,,,,1,,,,,0,,1,,,,,2,2,2,2,2,6,1,2,1,1943,2,1,PC,1,1.385,,1.343,3
295792,04/03/2025,1,1,,4,3,1,4,1,2,2,3,2,4,4,1,2,3,2,4,1,3,2,1,3,1,0,3,1,,,,,,2,3,3,9,10,3,10,10,10,3,4,9,4,1,5,1,,,,,,,,,,,,,,,,,1,,5,5,3,4,3,2,3,3,3,1,2,3,1,1,2,4,2,2,4,,,,,,1,,,,,,10,1,,,,,,4,4,2,4,3,1,1,3,4,,3,1,Mobile,1,1.519,,1.473,6
295794,04/03/2025,1,1,,4,3,2,4,1,5,5,3,1,4,4,3,2,1,2,4,3,4,4,2,4,1,5,4,1,,,,,,1,1,2,10,10,3,7,10,9,5,1,1,1,2,4,,1,,,,,,,,,,,,,1,,,,,7,5,4,2,2,3,1,4,2,1,3,3,1,2,,4,3,2,5,,,1,1,1,,,1,,,,4,1,,,,,,4,3,2,4,1,6,1,3,4,,4,1,Mobile,1,1.099,,1.066,2
295796,04/03/2025,1,1,23,2,1,1,5,2,5,3,2,1,4,4,1,4,3,2,4,3,1,2,3,3,2,2,5,1,,,,,,4,1,2,8,10,3,7,10,9,2,1,4,10,2,3,,1,1,,,1,,,,1,,,,,1,,,,,5,4,4,98,1,3,1,3,98,2,4,4,2,1,0,4,2,1,5,,,1,1,,1,,1,1,,,8,1,,,,,,4,4,4,4,1,5,1,1,4,,4,1,Mobile,1,1.116,,1.083,3
295798,04/03/2025,1,1,,4,3,1,8,4,4,4,3,3,4,4,2,1,3,2,4,3,4,4,3,4,2,10,0,1,,,,,,3,3,1,8,8,5,5,5,5,0,1,97,1,1,4,1,1,1,,1,1,1,1,1,,,,1,,,,,,,8,2,3,2,2,3,1,2,2,3,3,3,3,1,2,4,3,1,1,,,,1,,,,,,,,10,1,,,,,,4,4,4,4,3,6,1,3,4,,3,1,Mobile,1,1.015,,0.984,6
295801,04/03/2025,1,1,,2,1,1,7,3,1,3,1,1,4,4,2,1,3,2,4,4,1,2,1,1,1,6,3,1,,,,,,1,2,3,10,10,7,10,9,10,0,1,9,4,1,4,,,,,,,,1,,,,,,,1,,,,,8,5,4,2,2,3,1,4,4,1,4,4,2,1,2,4,2,2,4,,,,,,1,,1,,,,9,,,,,1,,4,4,3,4,4,1,1,1,6,,5,1,PC,1,0.698,,0.677,2
295802,04/03/2025,1,1,,4,3,1,8,4,5,5,4,5,2,1,1,3,4,2,1,1,2,2,4,4,4,10,9,5,,,,,,2,1,1,0,7,7,0,8,6,5,1,8,9,5,5,1,,1,,,,,,,1,,1,1,1,1,,,,,2,1,3,1,2,4,3,1,1,3,2,3,2,1,1,2,3,1,3,1,,1,,,,1,,,,,1,,1,,,,,3,3,2,2,2,5,1,1,4,,5,1,Mobile,1,0.943,,0.914,4
295808,04/03/2025,1,1,23,2,1,2,9,5,1,5,4,2,4,4,1,2,4,2,4,4,2,2,2,1,1,7,2,1,,,,,,2,3,3,5,9,8,10,7,10,2,2,97,4,3,5,1,,,,,,,,,,,,,,,,,1,,3,4,3,1,3,1,1,2,2,1,2,3,1,1,1,4,3,98,2,,,,1,1,1,,1,1,,,9,1,,,,,,4,2,4,4,4,2,1,1,6,,4,1,Mobile,1,0.767,,0.744,1
295810,04/03/2025,1,1,,3,2,2,5,2,5,5,4,5,4,3,3,4,1,2,4,4,98,4,4,4,98,5,7,1,,,,,,3,3,1,0,7,2,0,9,3,3,1,2,2,4,5,,1,1,,1,,,1,1,,,,1,,,,,,,2,2,98,98,3,3,98,1,1,1,1,4,4,1,5,4,3,1,4,,,1,,,,,,,,,5,1,,,,,,98,1,98,1,2,6,1,3,4,,3,1,Mobile,1,1.036,,1.005,5
295813,04/03/2025,1,1,,5,4,1,9,5,5,4,4,5,2,98,3,4,1,2,1,1,3,3,3,3,1,8,5,5,,,,,,1,2,3,3,6,8,6,7,3,6,1,8,9,6,4,1,,,,,,,1,,,,,,,,,,1,,4,1,3,1,2,3,3,1,2,3,2,3,2,1,5,4,4,1,3,1,,1,,,,1,,,,,3,,1,1,,,,3,3,3,3,2,5,1,4,5,,4,1,Mobile,1,0.647,,0.628,3
295814,04/03/2025,1,1,,5,4,1,4,1,3,4,4,3,3,4,1,3,4,2,3,3,3,3,1,2,3,5,5,1,,,,,,3,2,2,8,8,2,8,8,8,1,1,5,5,3,5,1,1,1,,,,,,,,,1,,1,,,,,,6,3,4,4,3,3,2,1,2,2,1,3,4,1,5,4,2,1,3,,,1,,1,,1,1,1,,,10,1,,,,,,3,3,3,3,3,1,1,3,6,,4,1,Mobile,1,1.259,,1.222,5
295823,04/03/2025,1,1,57,5,4,2,5,2,1,4,3,4,4,4,1,2,4,2,98,4,98,3,1,1,98,1,1,1,,,,,,3,2,3,7,9,5,9,8,8,2,98,98,5,2,5,,,1,,,,,,,,,,,,,,,1,,6,4,98,2,98,98,2,2,2,2,2,3,2,1,5,4,4,98,3,,,,,,,,1,,,,5,1,,,,,,98,3,98,98,3,4,1,2,4,,3,1,Mobile,1,0.989,,0.96,1
295826,04/03/2025,1,1,25,2,1,2,8,4,2,5,4,5,4,4,1,3,2,2,4,3,3,4,3,3,2,5,3,2,,,,,,2,3,3,3,5,5,4,5,5,3,4,94,94,98,2,,,,,,1,,,,,,,,,,,,1,,1,4,98,2,3,3,1,1,1,1,2,1,1,1,1,4,2,2,2,,,,1,1,1,1,1,,,,10,,1,,,,,98,98,98,98,3,4,1,4,4,,3,1,Mobile,1,1.174,,1.139,4
295827,04/03/2025,1,1,,2,1,2,6,3,4,4,3,2,4,4,1,3,4,2,4,4,3,3,3,3,1,0,5,1,,,,,,2,2,3,5,10,2,7,7,9,3,1,1,1,3,3,,,,,,1,,,1,,,,,,1,,,,,10,4,4,3,4,3,1,98,1,1,2,2,1,1,2,4,2,1,4,,,1,1,1,,,,1,,,10,1,,,,,,3,3,2,3,2,5,1,3,4,,3,1,Mobile,1,0.699,,0.678,2
295830,04/03/2025,1,1,,4,3,1,7,3,5,5,2,1,3,4,1,4,3,2,2,1,2,3,3,3,4,10,7,5,,,,,,1,1,1,0,5,5,1,10,3,1,1,7,3,3,5,,,1,,,,,,,1,,1,,,,,,,,2,1,3,1,1,4,3,1,1,3,2,4,1,99,,4,4,1,2,1,1,1,,1,,1,1,1,,,3,,1,,,,,98,3,3,3,2,5,1,1,3,1990,4,1,Mobile,1,0.703,,0.682,4
295832,04/03/2025,1,1,33,3,2,2,5,2,1,4,3,4,4,4,1,3,4,2,4,3,4,4,98,2,1,5,1,1,,,,,,98,2,3,10,10,0,10,5,5,0,1,6,6,3,3,1,,1,,,,,1,,,,,,,,,,1,,5,5,98,2,3,4,98,2,2,1,1,1,1,2,,4,4,1,2,,,1,,,,,1,,,,10,1,,,,,,4,4,98,4,4,4,1,1,4,,2,1,PC,1,1.088,,1.056,5
295834,04/03/2025,1,1,,5,4,2,5,2,4,4,4,4,4,4,1,2,3,2,4,3,98,4,4,2,2,4,4,1,,,,,,4,2,3,8,8,1,0,7,8,0,2,1,1,1,3,,1,,,,,,,,,,,,1,,,,,,8,5,2,2,4,3,2,4,3,2,2,4,2,2,,4,3,98,5,,,,,1,,,,,,,10,1,,,,,,4,3,2,2,2,5,1,3,5,,3,1,Mobile,1,1.014,,0.984,4
295838,04/03/2025,1,1,,4,3,2,4,1,4,4,4,4,98,4,1,3,2,2,98,3,98,3,98,3,4,6,5,98,,,,,,3,3,4,98,98,98,4,5,5,5,1,99,99,98,1,,,,,,,,,,,,,,,,,,,,98,98,3,3,3,2,2,2,2,2,2,4,98,1,4,4,4,1,98,,,,,,,,,,,1,8,,,,,,1,3,98,4,98,3,4,1,4,4,,5,1,Mobile,1,1.183,,1.148,2
295841,04/03/2025,1,1,,3,2,1,8,4,4,98,3,5,4,4,1,2,3,2,4,3,2,3,98,98,98,9,5,1,,,,,,1,98,1,0,98,98,0,98,98,0,4,96,2,2,4,1,,,,,,,,,,,,1,,,,,,,1,1,3,3,98,3,2,1,1,1,1,2,98,2,,4,4,1,2,,,,,,,,1,,,,10,1,,,,,,3,3,2,98,3,5,1,3,4,,99,1,PC,1,0.914,,0.886,1
295847,04/03/2025,1,1,,4,3,1,6,3,5,3,3,3,4,3,2,4,3,2,4,1,1,3,1,4,3,10,10,1,,,,,,3,3,2,8,8,1,0,10,5,1,1,97,1,2,4,,,1,,,,,,,,,,1,,,,,,,7,3,3,3,3,3,3,2,1,3,2,3,2,1,2,4,3,1,3,,,,,,,,1,,,,0,1,,,,,,3,3,3,3,1,6,1,1,3,1990,3,1,Mobile,1,0.703,,0.682,3
295850,04/03/2025,1,1,,2,1,2,8,4,4,5,4,5,4,2,1,3,4,2,3,3,4,3,2,2,2,8,7,1,,,,,,2,2,2,5,7,0,4,7,5,0,1,1,1,2,2,,1,,,1,1,,,1,,,,1,,,,,,,5,3,3,3,2,1,1,2,2,2,3,4,3,1,2,4,2,1,3,,,1,1,1,,,,,,,5,,1,,,,,3,4,3,3,2,4,1,3,4,,3,1,Mobile,1,0.937,,0.909,5
295852,04/03/2025,1,1,,6,5,2,5,2,5,5,3,2,3,4,1,3,4,2,3,1,3,3,3,4,98,9,6,3,,,,,,2,2,1,3,5,3,2,6,5,4,1,7,3,3,5,1,1,,,,,,1,,,,1,1,,,,,,,3,2,3,2,98,3,3,2,2,2,2,3,3,2,,4,3,1,3,,,1,,,,,,,,,6,,1,1,,,,3,3,2,3,2,4,1,4,5,,3,1,PC,1,1.385,,1.343,5
